bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
MCP,NA,177.57894736842252,325.0000000000041,213.85000000000082,14271.07894736842,716.4289473684274,28.1250000000001,0.0,0.0,true,GUROBI,0.0,0.0,0.0
SCR-NC,collusive,164.7761785407059,756.2499991111788,193.84999916977313,14074.376176931295,1114.8761768216577,38.750000002349,1.0,1.0,false,KNITRO,223.6383692406808,564.9499988848818,251.76999999999998
SCR-NC,collusive,138.54735519656262,770.7619690344967,221.84472538039824,14090.65404958268,1131.1540496114576,38.75000000002942,1.5,1.5,false,KNITRO,235.5789473572272,593.2630087064608,232.22853182111163
SCR-NC,collusive,134.75751156964054,799.986900948111,196.93730833555057,13971.581721102028,1131.681720853302,41.25000000228805,2.5,2.5,false,KNITRO,235.56238572372104,586.024536786729,242.4940336521151
SCR-NC,collusive,185.76105962382303,670.2343913458918,277.99651068128713,14131.291933995817,1133.991961651002,40.625000377420896,4.5,4.5,false,KNITRO,200.72993599344093,564.950000060997,251.76485839751103
SCR-NC,collusive,222.9775562396718,524.4714024732004,261.9871479350646,14137.736106959223,1009.4361066479369,38.125000002931635,5.0,5.0,true,KNITRO,197.7015178078234,516.2313269709928,254.49443449082844
SCR-NC,collusive,185.76608513944262,667.8322320959439,281.77173103504504,14132.67066373639,1135.3700482704317,40.62498438367086,5.5,5.5,false,KNITRO,185.77883860604095,564.949248650206,251.7700000000108
SCR-NC,collusive,149.24485170354717,752.4545687982943,318.10174607416275,14037.101166624707,1219.801166576004,43.750000004126356,6.0,6.0,false,KNITRO,194.7300248585309,559.1598159590325,248.46269162479757
SCR-NC,collusive,165.95416304790118,774.5951178435437,244.69317085378924,14002.542451583819,1185.2424517452341,43.750000003802825,6.5,6.5,false,KNITRO,239.165487858775,577.6643556336675,221.07792980850178
SCR-NC,collusive,234.71795887549968,622.3390756086665,265.8139438799159,14120.170978361151,1122.870978364082,40.6250000000576,7.0,7.0,true,KNITRO,204.5557354593141,597.8926170225466,254.47106210389342
SCR-NC,collusive,185.76138397089142,675.5542370239984,265.50813368339186,14124.123752834425,1126.8237546782816,40.62500003349503,7.5,7.5,true,KNITRO,181.82065806524753,583.9429803978783,242.4962019414013
SCR-NC,collusive,179.75192732103102,676.1680698593696,278.1183885493233,14131.338385732892,1134.0383857297238,40.624999999942276,8.0,8.0,false,KNITRO,181.82031108099218,564.9500000000212,242.49481772787567
SCR-NC,collusive,159.47517344802014,768.2987026941585,278.51609884996736,14023.589974989485,1206.289974992146,43.74999999996123,8.5,8.5,false,KNITRO,240.83060568689564,629.8105568960793,213.83893108134333
SCR-NC,collusive,185.7603207490302,668.0522880507774,281.4235511071072,14132.536159891304,1135.2361599069147,40.62500000010238,10.0,10.0,true,KNITRO,181.81960051792808,471.6855286800899,251.76197548900475
SCR-NC,collusive,185.76160254298114,667.4667507529969,282.35591492326785,14132.884268210388,1135.5842682192458,40.62499999999861,10.5,10.5,true,KNITRO,181.8208823300808,667.9522052310544,242.49710279110076
SCR-NC,collusive,223.63762883891593,624.1217510719665,280.93768616129717,14125.997066251277,1128.6970660721795,40.6250000030528,11.0,11.0,true,KNITRO,185.76757588955542,600.2157414044651,264.3464200501818
SCR-NC,collusive,181.46233414679526,674.2354522065976,241.8241345900331,14094.821921015779,1097.521920943426,40.6250000093362,11.5,11.5,false,KNITRO,181.82160664820069,564.950005006765,251.76999999999998
SCR-NC,collusive,219.3383664797144,623.6107326378869,268.84243476662,14109.091532205279,1111.7915338842213,40.6250000262417,12.0,12.0,false,KNITRO,190.94881477748697,564.95,254.4999999999971
SCR-NC,collusive,163.08512300629394,800.695123710204,288.4545890144614,14092.13483428582,1252.2348357309593,41.25000002625831,12.5,12.5,false,KNITRO,249.69266834188537,630.3722142707322,250.6157741974245
SCR-NC,collusive,154.24982169417518,802.3077288481031,283.20923955303425,14079.66666265783,1239.7667900953124,41.250002799548724,13.0,13.0,false,KNITRO,238.2465422459469,557.5660577963192,262.61674338636635
SCR-NC,collusive,181.85656738477144,804.6927635614334,249.87618264326954,14076.325513599535,1236.4255135894743,41.250000000303665,13.5,13.5,false,KNITRO,207.49892590975404,574.3185296080517,237.84265101083503
SCR-NC,collusive,167.39235886470277,768.7774076342419,246.3024653855121,13999.772231883147,1182.4722318844567,43.75000000001204,14.5,14.5,false,KNITRO,241.33970731898978,625.5917403860876,213.84055901740192
SCR-NC,collusive,163.09114099812638,760.5471380645981,283.62078918025844,14024.559068049053,1207.259068242983,43.750000004848,15.5,15.5,false,KNITRO,242.61924993855848,550.2594664481961,230.48479694273976
SCR-NC,collusive,181.78732187356678,789.7443831627515,280.43738632406814,14091.874483191452,1251.9690913603863,41.2499211176957,16.0,16.0,false,KNITRO,216.40053755330695,581.3613621807451,225.85000000000102
SCR-NC,collusive,163.08725534096706,798.0650088557868,292.57892799526763,14093.63119218517,1253.7311921920216,41.24999999997138,16.5,16.5,false,KNITRO,249.01913040021594,560.5056840447512,262.6177970039515
SCR-NC,collusive,163.09100172906636,768.7595825385918,265.85201079781143,14015.002595620608,1197.7025950654697,43.749999997439346,17.0,17.0,false,KNITRO,243.30431711277885,626.6167270565923,230.48209779322667
SCR-NC,collusive,169.82031828717516,779.9043859731167,240.1045299990593,14007.129234242064,1189.8292342593513,43.749999999927766,17.5,17.5,false,KNITRO,243.24165428900193,620.7527182885881,213.8386116997881
SCR-NC,collusive,163.09364004457157,750.6213863838632,299.2108940355581,14030.225926430341,1212.925920463993,43.749999849654195,18.0,18.0,false,KNITRO,235.58450829847516,550.3557326918221,232.20759305275493
SCR-NC,collusive,163.09099109459407,799.2399858771975,290.72546449428796,14092.956441470886,1253.0564414660794,41.249999999991424,18.5,18.5,false,KNITRO,248.16608083930205,639.5403444071113,250.61039962217018
SCR-NC,collusive,175.55569941901675,792.4970225746861,283.2396195394366,14091.192341623766,1251.2923415331393,41.249999999427786,19.0,19.0,false,KNITRO,249.77819865951616,576.174154937753,225.82441804842722
SCR-NC,collusive,185.53191261158508,812.4939788863543,227.89175081547515,14065.817642180094,1225.9176423134145,41.2500000035502,19.5,19.5,false,KNITRO,208.73259584340232,561.4796235681964,237.83741247996676
SCR-NC,collusive,133.32627470779488,809.3769186110069,304.5583734204974,14087.16156645866,1247.2615667392993,41.250000000032514,20.0,20.0,false,KNITRO,248.22888446763193,547.3202967597308,250.62292329744741
SCR-NC,collusive,179.36231877898078,806.8973011988361,249.9334924043275,14076.093112455123,1236.1931123821444,41.249999999912795,20.5,20.5,false,KNITRO,207.5284224681411,572.8293772049631,237.8433264229447
SCR-NC,collusive,154.7183945347254,803.5580218785881,297.1073126592285,14095.283728983244,1255.3837290725419,41.25000000099697,21.0,21.0,false,KNITRO,238.04925554702658,556.773306765516,272.89088862497664
SCR-NC,collusive,133.31785005243714,820.1075772709066,287.71460109104055,14081.04002896481,1241.1400284143842,41.2500000092553,21.5,21.5,false,KNITRO,240.6335756921168,641.4577742146466,250.62541465813217
SCR-NC,collusive,181.7662126746083,802.8486397822724,260.35790320581566,14084.872755761486,1244.9727556626963,41.24999999957192,22.0,22.0,false,KNITRO,231.1132042667801,569.9963383989154,225.84284258569136
SCR-NC,collusive,133.31815544262196,782.9395036112226,278.2085891873735,14011.766247268835,1194.466248241218,43.75000001636408,22.5,22.5,false,KNITRO,192.33991531291872,635.1466027054975,244.21088977675373
SCR-NC,collusive,163.09448722940786,789.9732444557337,305.29042387953393,14098.258155734671,1258.3581555646756,41.24999999996243,23.0,23.0,false,KNITRO,248.669929078262,639.0390552653153,250.61768288309378
SCR-NC,collusive,170.28691334352365,774.7598188614259,317.8953782987477,14102.84210870519,1262.9421105036972,41.250000042127674,23.5,23.5,false,KNITRO,251.7554199144477,582.9052122378077,242.4797117016003
SCR-NC,collusive,163.0984892491749,800.9967154442691,287.9616909365602,14091.956830624484,1252.0568956300042,41.25000100232289,24.0,24.0,false,KNITRO,248.88960678351827,639.4322612689356,250.61691447278088
SCR-NC,collusive,146.90767274882975,795.5528219982755,304.94810322492305,14087.308598189325,1247.4085979720282,41.24999999971929,24.5,24.5,false,KNITRO,254.06048638201472,631.3131931933286,250.62438396679144
SCR-NC,collusive,136.73916632633228,818.1183860607488,280.10720739937574,14074.864753360418,1234.9647597864569,41.249999999729276,25.0,25.0,false,KNITRO,196.18919817554286,596.6740101754186,237.84999999999803
SCR-NC,collusive,163.09573084686554,781.9462639948797,317.90107306784074,14102.843067916314,1262.943067909586,41.25000000000372,25.5,25.5,false,KNITRO,247.56554030981275,588.2178301925403,242.47970322323306
SCR-NC,collusive,178.264982749674,762.8875486536085,257.7105809295498,14016.163117004464,1198.8631123328323,43.7499999993411,26.0,26.0,false,KNITRO,246.73906429908573,618.2361349153374,213.8415362624485
SCR-NC,collusive,163.09458814571965,761.6381603895352,281.9034788440172,14023.936227382186,1206.636227379272,43.74999999980026,26.5,26.5,false,KNITRO,222.65083325010212,586.4914839364744,242.48371658700407
SCR-NC,collusive,163.09069136965618,796.1967471779815,295.51338284582835,14094.700821387456,1254.8008213934659,41.24999999999163,27.0,27.0,false,KNITRO,249.97481873168692,636.8142449031573,250.61974203563122
SCR-NC,collusive,171.610444591482,736.96076593448,307.2991390679686,14033.170348251908,1215.8703495939305,43.750000029669316,27.5,27.5,false,KNITRO,203.7847643281781,556.6928129101866,260.89106288649646
SCR-NC,collusive,167.99884360232244,791.7833744271336,294.73681596286036,14094.419033997981,1254.5190339923165,41.24999999999185,28.0,28.0,false,KNITRO,251.7776249181419,551.659876789516,260.89088460079853
SCR-NC,collusive,184.25000278785689,764.921957578005,227.0984588638363,13993.57041927757,1176.2704192296983,43.75000000057501,28.5,28.5,false,KNITRO,236.57745943418593,561.9625127172172,216.72433560479215
SCR-NC,collusive,181.63488882386633,805.755869378482,248.7474957132083,14076.038254600604,1236.1382539155566,41.24999998704637,29.0,29.0,false,KNITRO,208.31760640673104,571.0109006541153,237.84269907919014
SCR-NC,collusive,176.73100794094722,792.8594218966477,282.4067255195567,14091.89715385971,1251.9971553571515,41.25000003176004,29.5,29.5,false,KNITRO,217.23962455812114,575.8647236001123,225.84999999999945
SCR-NC,collusive,140.86227195029096,827.7266096093342,258.2714221593143,14066.760303462619,1226.8603037189396,41.25000000141457,30.0,30.0,false,KNITRO,194.49649494539722,592.9515866440415,237.84999999999508
SCR-NC,collusive,163.09155236759153,764.5211602189215,277.3744962544961,14022.287208859481,1204.987208841009,43.74999999993114,30.5,30.5,false,KNITRO,249.03806534240005,640.480046810846,250.61918657242856
SCR-NC,collusive,163.16961501574258,798.8158476818726,291.2802571021314,14093.165719766996,1253.2657197997464,41.2500000023953,31.0,31.0,false,KNITRO,246.71689343777336,564.7513248371328,260.8914727047021
SCR-NC,collusive,163.1128880860506,800.577260351215,288.596231141657,14092.186379711566,1252.2863795789226,41.24999999896859,31.5,31.5,false,KNITRO,247.94132937342914,639.7866827062742,250.6128581886503
SCR-NC,collusive,163.09238466032684,800.4153191983625,288.8794035173651,14092.28710644671,1252.3871073760545,41.25000002080191,32.0,32.0,false,KNITRO,249.80557712876836,638.58146811459,250.61357844014708
SCR-NC,collusive,178.9372172183762,805.3015132503875,253.30615664169684,14077.444886412033,1237.5448871104606,41.250000015743154,32.5,32.5,false,KNITRO,208.04298000871665,573.4860408759962,237.84999999999548
SCR-NC,collusive,170.56468876261022,795.4638701503554,284.91735089768997,14090.845907373681,1250.9459098106556,41.25000006276004,33.0,33.0,false,KNITRO,254.75427097962393,629.8631330809965,250.61315013248313
SCR-NC,collusive,175.75640527706838,805.4297405027704,258.9629803158493,14080.049125980899,1240.1491260956882,41.25000000223971,34.0,34.0,false,KNITRO,199.29746580525295,565.1520246668742,237.84999999999357
SCR-NC,collusive,186.94426489152448,742.045035719648,280.2158843381464,14026.505184992076,1209.205184949319,43.749999999887386,34.5,34.5,false,KNITRO,241.45807315391482,560.9510098058171,225.8389806773455
SCR-NC,collusive,163.09385341010193,760.9057110618344,283.05028958655674,14024.349854155333,1207.049854058493,43.74999999845895,35.0,35.0,false,KNITRO,220.08899665529975,586.1646032173827,242.47671800692012
SCR-NC,collusive,178.57117095091792,803.9299690243392,256.1630003915897,14078.564140325483,1238.6641403668468,41.2500000008483,35.5,35.5,false,KNITRO,248.41588938086596,574.0480177951006,213.8409933166928
SCR-NC,collusive,169.9307274998967,784.7424851871062,302.76131765702155,14097.33453055059,1257.4345303440246,41.24999999945463,36.0,36.0,false,KNITRO,252.04543801486614,551.8582049063168,250.61204153285854
SCR-NC,collusive,184.94521791299786,796.069321592425,255.40184212049914,14076.316381646848,1236.416381625922,41.2499999999181,36.5,36.5,false,KNITRO,247.26989843584,561.7006017270639,226.26323814578717
SCR-NC,collusive,186.82607872005667,787.6880014484321,276.7137810750125,14091.127861265279,1251.2278612435014,41.249999999709345,37.0,37.0,false,KNITRO,235.15745662353632,516.7453329066296,237.84048223214748
SCR-NC,collusive,169.74511590930712,792.417512195754,290.98768795683264,14093.050316063734,1253.1503160618936,41.25000000001709,37.5,37.5,false,KNITRO,253.6243695591723,628.0808938252101,250.6093535614192
SCR-NC,collusive,172.53067878238704,788.5294698971486,292.72352726155873,14093.683676376331,1253.7836759410943,41.24999999679452,38.0,38.0,false,KNITRO,249.7964177438345,580.2364834010486,242.45243185489534
SCR-NC,collusive,179.4030667306121,775.9363536572573,301.70966545648116,14096.949019998403,1257.0490858443504,41.250001427097004,38.5,38.5,false,KNITRO,269.7865703057033,538.8153832951092,272.21026177428234
SCR-NC,collusive,170.96857702687757,774.1033616992811,317.84481024107964,14102.816748979429,1262.9167489672384,41.249999999897604,39.0,39.0,false,KNITRO,254.07736899293508,547.3778843936733,250.609576210158
SCR-NC,collusive,163.0968738605831,797.8281155884541,292.93449627814584,14093.759489467424,1253.859485727183,41.24999996554764,40.5,40.5,false,KNITRO,249.28203954755418,559.001911929462,250.6172736403268
SCR-NC,collusive,133.31858802673295,815.9871729099372,294.1892108957435,14083.394971897957,1243.4949718324137,41.250000004315304,41.0,41.0,false,KNITRO,243.99809227591697,587.5861047281417,238.18974435460925
SCR-NC,collusive,163.0961208788251,799.4045644327068,290.4699930208375,14092.870678642192,1252.9706783323695,41.24999999973972,41.5,41.5,false,KNITRO,248.46852678241493,639.3582760417197,250.61866754483904
SCR-NC,collusive,145.49131815859488,779.090292771973,268.75396735955275,14010.635575258013,1193.3355782901206,43.7500000438299,42.0,42.0,false,KNITRO,228.1701231327463,630.5830644749987,211.27853185597323
SCR-NC,collusive,140.68479497102618,787.7931597438366,257.8460055269157,14003.62396024019,1186.3239602417784,43.750000000139345,42.5,42.5,false,KNITRO,222.53656495245258,632.385373858401,221.55000000001436
SCR-NC,collusive,145.15703512432026,821.684110093194,264.23764192177435,14070.978787200644,1231.0787871392886,41.250000000373,43.0,43.0,false,KNITRO,215.34225658649677,583.1465288541194,221.55000003256703
SCR-NC,collusive,167.21627303335208,793.3634116954947,293.52642648864355,14094.00611555366,1254.1061112174903,41.24999998425576,43.5,43.5,false,KNITRO,247.23122806456357,581.6680110812133,242.3576978241506
SCR-NC,collusive,100.08365743041347,845.34200130248,272.20949876105476,14057.5351550153,1217.635157493948,41.250000044389395,44.0,44.0,false,KNITRO,235.5789472417563,647.4999999999211,232.228531855952
SCR-NC,collusive,138.29355067913383,804.2259913715766,304.85832852540057,14087.2778706272,1247.377870576111,41.250000003891984,44.5,44.5,false,KNITRO,243.7349129005078,633.939392640703,250.62446762995694
SCR-NC,collusive,133.31621810392502,772.2268932115874,295.0453214408046,14017.888432918424,1200.5884327563172,43.749999998996635,45.0,45.0,false,KNITRO,193.81700812246368,560.275962012103,251.76999999999998
SCR-NC,collusive,177.3236874780029,757.9178376645787,269.1572319864002,14021.698733163292,1204.3987571289817,43.75000052827825,45.5,45.5,false,KNITRO,221.8441015446039,537.473782305357,225.84259389978163
